customer_id,first_name,last_name,email,phone,address,city,state,zip,dl_masked,credit_score_band,contact_opt_in_sms,contact_opt_in_email
5000,Drew,Thompson,drew.thompson@example.com,555-619-2743,991 Pine St,San Jose,CA,95110,CA-XXXXXX88,800-850,False,False
5001,Alex,Brown,alex.brown@autodealer.test,555-345-1949,346 Elm St,Santa Clara,CA,95050,NC-XXXXXX27,580-669,False,False
5002,Chris,Martinez,chris.martinez@mail.test,555-806-4295,830 Pine St,San Jose,CA,95110,TX-XXXXXX33,670-739,True,True
5003,Evan,Davis,evan.davis@example.com,555-824-1964,334 Maple St,Anytown,CA,94105,NC-XXXXXX73,580-669,False,True
5004,Peyton,White,peyton.white@example.com,555-199-8062,462 Cedar St,Riverside,CA,92501,NY-XXXXXX51,580-669,True,False
5005,Riley,White,riley.white@autodealer.test,555-573-5092,995 Maple St,Riverside,CA,92501,FL-XXXXXX13,740-799,False,False
5006,Chris,Jackson,chris.jackson@example.com,555-488-1035,499 Pine St,Anytown,CA,94105,NY-XXXXXX34,300-579,True,False
5007,Jordan,Johnson,jordan.johnson@autodealer.test,555-614-9701,261 Maple St,Sacramento,CA,95814,TX-XXXXXX36,800-850,True,True
5008,Skyler,Williams,skyler.williams@mail.test,555-697-9565,423 Pine St,San Diego,CA,92101,AZ-XXXXXX47,300-579,True,False
5009,Skyler,Robinson,skyler.robinson@example.com,555-650-4492,618 Pine St,Anytown,CA,94105,NC-XXXXXX27,670-739,True,False
5010,Casey,Jones,casey.jones@example.com,555-209-3546,378 Pine St,Santa Clara,CA,95050,CA-XXXXXX74,300-579,False,False
5011,Jordan,Smith,jordan.smith@example.com,555-752-5291,265 Cedar St,Santa Clara,CA,95050,CA-XXXXXX28,670-739,True,False
5012,Riley,Johnson,riley.johnson@autodealer.test,555-915-1653,466 Oak St,Santa Clara,CA,95050,FL-XXXXXX23,580-669,False,True
5013,Avery,Anderson,avery.anderson@autodealer.test,555-921-5065,373 Oak St,San Jose,CA,95110,IL-XXXXXX75,580-669,True,True
5014,Chris,Jackson,chris.jackson@autodealer.test,555-985-2137,891 Pine St,Santa Clara,CA,95050,FL-XXXXXX14,800-850,False,True
5015,Casey,Clark,casey.clark@autodealer.test,555-846-6139,546 Elm St,San Diego,CA,92101,CA-XXXXXX06,800-850,True,False
5016,Lee,Williams,lee.williams@autodealer.test,555-738-6143,779 Maple St,Oakland,CA,94607,FL-XXXXXX48,580-669,False,False
5017,Avery,Clark,avery.clark@autodealer.test,555-515-9977,953 Maple St,Sacramento,CA,95814,PA-XXXXXX57,740-799,True,False
5018,Avery,Williams,avery.williams@mail.test,555-779-6491,195 Oak St,Santa Clara,CA,95050,GA-XXXXXX37,300-579,False,False
5019,Evan,Miller,evan.miller@mail.test,555-493-9099,509 Oak St,Oakland,CA,94607,CA-XXXXXX87,800-850,True,True
5020,Quinn,Jones,quinn.jones@autodealer.test,555-783-9702,672 Elm St,San Jose,CA,95110,MI-XXXXXX72,740-799,False,False
5021,Sam,Lopez,sam.lopez@mail.test,555-596-4919,381 Cedar St,San Jose,CA,95110,FL-XXXXXX81,580-669,True,False
5022,Riley,Miller,riley.miller@autodealer.test,555-517-6421,655 Cedar St,Anytown,CA,94105,OH-XXXXXX09,740-799,True,False
5023,Morgan,Jackson,morgan.jackson@autodealer.test,555-651-9947,919 Elm St,San Jose,CA,95110,AZ-XXXXXX06,740-799,True,False
5024,Riley,Clark,riley.clark@example.com,555-503-1444,185 Cedar St,Sacramento,CA,95814,PA-XXXXXX53,670-739,False,False
5025,Drew,White,drew.white@example.com,555-581-1317,867 Elm St,Santa Clara,CA,95050,CA-XXXXXX33,800-850,True,True
5026,Riley,Martin,riley.martin@example.com,555-677-4571,576 Pine St,Oakland,CA,94607,GA-XXXXXX41,300-579,False,False
5027,Dana,Miller,dana.miller@mail.test,555-807-4978,204 Pine St,Anytown,CA,94105,TX-XXXXXX65,800-850,False,True
5028,Lee,Martin,lee.martin@autodealer.test,555-470-8532,824 Oak St,Anytown,CA,94105,OH-XXXXXX77,800-850,False,False
5029,Sam,Williams,sam.williams@autodealer.test,555-349-8613,683 Elm St,Santa Clara,CA,95050,AZ-XXXXXX73,670-739,False,False
5030,Skyler,Lopez,skyler.lopez@example.com,555-629-4130,187 Oak St,Sacramento,CA,95814,TX-XXXXXX70,670-739,True,False
5031,Sam,Wilson,sam.wilson@mail.test,555-477-8753,666 Elm St,Oakland,CA,94607,IL-XXXXXX44,580-669,True,True
5032,Jamie,Brown,jamie.brown@mail.test,555-880-4033,296 Oak St,Oakland,CA,94607,IL-XXXXXX13,580-669,False,True
5033,Morgan,Smith,morgan.smith@mail.test,555-229-5494,146 Maple St,Oakland,CA,94607,PA-XXXXXX94,740-799,False,False
5034,Avery,Johnson,avery.johnson@autodealer.test,555-216-2070,510 Cedar St,Santa Clara,CA,95050,NY-XXXXXX41,300-579,False,True
5035,Devon,Jackson,devon.jackson@autodealer.test,555-404-8025,412 Elm St,San Diego,CA,92101,FL-XXXXXX41,580-669,True,True
5036,Avery,Smith,avery.smith@autodealer.test,555-805-8699,398 Maple St,San Diego,CA,92101,WA-XXXXXX49,580-669,False,True
5037,Shawn,Davis,shawn.davis@example.com,555-372-3330,173 Maple St,Oakland,CA,94607,MI-XXXXXX17,670-739,False,False
5038,Devon,Martinez,devon.martinez@autodealer.test,555-182-1653,542 Pine St,San Diego,CA,92101,WA-XXXXXX90,670-739,True,True
5039,Peyton,Thompson,peyton.thompson@autodealer.test,555-384-3973,699 Cedar St,Oakland,CA,94607,FL-XXXXXX51,670-739,False,False
5040,Morgan,Jackson,morgan.jackson@mail.test,555-137-8451,190 Pine St,San Jose,CA,95110,OH-XXXXXX87,300-579,True,False
5041,Skyler,Martin,skyler.martin@autodealer.test,555-878-1845,308 Pine St,Oakland,CA,94607,NY-XXXXXX09,580-669,False,True
5042,Shawn,White,shawn.white@example.com,555-961-2858,572 Maple St,Anytown,CA,94105,NY-XXXXXX77,740-799,True,False
5043,Chris,Clark,chris.clark@mail.test,555-239-2143,382 Cedar St,Sacramento,CA,95814,WA-XXXXXX99,740-799,True,False
5044,Shawn,Martin,shawn.martin@autodealer.test,555-665-9903,486 Cedar St,Santa Clara,CA,95050,AZ-XXXXXX60,740-799,False,False
5045,Riley,Martin,riley.martin@example.com,555-614-6439,990 Maple St,Anytown,CA,94105,TX-XXXXXX62,740-799,False,False
5046,Skyler,Jackson,skyler.jackson@example.com,555-972-6383,972 Elm St,Oakland,CA,94607,WA-XXXXXX13,670-739,True,True
5047,Lee,Brown,lee.brown@mail.test,555-820-2646,554 Oak St,San Jose,CA,95110,OH-XXXXXX55,580-669,True,False
5048,Evan,Garcia,evan.garcia@example.com,555-180-7267,734 Oak St,Riverside,CA,92501,WA-XXXXXX74,300-579,False,False
5049,Shawn,Garcia,shawn.garcia@autodealer.test,555-453-5901,754 Cedar St,Anytown,CA,94105,OH-XXXXXX13,800-850,False,False
5050,Morgan,Smith,morgan.smith@mail.test,555-505-5497,108 Elm St,San Jose,CA,95110,WA-XXXXXX53,580-669,False,True
5051,Casey,Johnson,casey.johnson@autodealer.test,555-134-6977,849 Oak St,Santa Clara,CA,95050,AZ-XXXXXX28,800-850,False,True
5052,Drew,Martin,drew.martin@autodealer.test,555-864-6549,923 Maple St,San Jose,CA,95110,OH-XXXXXX51,300-579,False,True
